Estado,Tipo_Crime,Ano,Quantidade
SP,Violência Doméstica,2023,261
RJ,Tráfico de Drogas,2022,66
SC,Homicídio,2000,216
CE,Roubo,2012,483
SC,Violência Doméstica,2021,426
AM,Homicídio,2003,202
RJ,Roubo,2007,142
RS,Tráfico de Drogas,2020,221
CE,Homicídio,2016,326
PR,Homicídio,2000,81
CE,Furto,2022,218
CE,Furto,2003,184
BA,Tráfico de Drogas,2023,426
RJ,Furto,2009,49
SP,Roubo,2016,248
RJ,Roubo,2020,399
SP,Furto,2005,96
RJ,Furto,2017,219
MG,Furto,2012,443
PR,Homicídio,2009,23
MG,Furto,2022,446
PE,Furto,2017,184
MG,Violência Doméstica,2013,405
BA,Violência Doméstica,2012,15
RS,Furto,2000,337
RS,Furto,2009,188
RS,Homicídio,2000,203
BA,Furto,2012,352
RJ,Furto,2013,18
BA,Violência Doméstica,2024,211
CE,Homicídio,2002,415
SC,Homicídio,2022,229
MG,Roubo,2021,368
AM,Furto,2012,38
SP,Homicídio,2017,82
AM,Tráfico de Drogas,2007,81
CE,Homicídio,2009,27
CE,Tráfico de Drogas,2001,364
PR,Violência Doméstica,2019,106
SP,Roubo,2008,259
CE,Roubo,2007,264
RJ,Furto,2007,291
PE,Furto,2009,419
MG,Roubo,2022,228
SP,Furto,2013,51
AM,Homicídio,2011,449
CE,Roubo,2022,221
SP,Homicídio,2022,243
SC,Violência Doméstica,2003,292
CE,Tráfico de Drogas,2005,393
MG,Homicídio,2000,295
PE,Roubo,2007,96
BA,Furto,2001,368
CE,Furto,2004,138
PE,Roubo,2006,439
SP,Roubo,2000,280
PE,Roubo,2017,100
CE,Homicídio,2023,416
PE,Homicídio,2010,366
RJ,Roubo,2006,356
MG,Roubo,2005,275
MG,Furto,2021,484
RJ,Homicídio,2003,136
SP,Furto,2014,253
BA,Homicídio,2018,87
SC,Roubo,2018,234
SP,Roubo,2016,197
PE,Furto,2021,84
CE,Violência Doméstica,2010,71
CE,Tráfico de Drogas,2004,275
BA,Homicídio,2005,332
PR,Roubo,2017,39
CE,Roubo,2007,105
SP,Violência Doméstica,2010,123
SC,Tráfico de Drogas,2015,22
PE,Furto,2010,185
AM,Homicídio,2019,177
PR,Violência Doméstica,2013,14
SP,Tráfico de Drogas,2014,166
BA,Furto,2021,191
RJ,Violência Doméstica,2011,463
SC,Furto,2021,421
PR,Homicídio,2024,202
MG,Tráfico de Drogas,2012,115
CE,Furto,2002,203
BA,Homicídio,2016,10
BA,Tráfico de Drogas,2013,137
BA,Tráfico de Drogas,2005,313
PE,Violência Doméstica,2006,358
MG,Roubo,2013,430
PR,Homicídio,2012,230
PE,Tráfico de Drogas,2012,408
PR,Furto,2003,20
PE,Roubo,2021,414
SP,Furto,2023,391
PR,Tráfico de Drogas,2006,358
SP,Violência Doméstica,2019,364
CE,Violência Doméstica,2018,311
AM,Violência Doméstica,2021,461
BA,Tráfico de Drogas,2024,185
BA,Tráfico de Drogas,2012,20
BA,Violência Doméstica,2013,399
RJ,Furto,2014,427
AM,Furto,2011,91
RJ,Roubo,2014,479
AM,Homicídio,2005,207
RJ,Homicídio,2009,195
BA,Homicídio,2022,41
CE,Violência Doméstica,2020,498
AM,Roubo,2018,242
SC,Tráfico de Drogas,2023,204
RJ,Furto,2001,300
MG,Roubo,2000,461
RJ,Violência Doméstica,2013,376
SC,Tráfico de Drogas,2023,222
RJ,Tráfico de Drogas,2007,298
MG,Furto,2017,422
BA,Furto,2010,310
SC,Violência Doméstica,2006,92
RJ,Roubo,2006,148
SC,Furto,2002,117
PR,Violência Doméstica,2000,215
BA,Homicídio,2015,372
CE,Roubo,2003,422
PR,Tráfico de Drogas,2022,499
PE,Roubo,2010,348
RS,Furto,2003,152
SC,Homicídio,2023,111
SP,Homicídio,2013,126
RS,Roubo,2007,86
RJ,Violência Doméstica,2011,122
SP,Furto,2005,35
RS,Roubo,2012,478
AM,Homicídio,2002,230
RS,Roubo,2010,385
PR,Homicídio,2014,389
RJ,Roubo,2003,265
BA,Tráfico de Drogas,2004,227
SP,Roubo,2012,104
PE,Homicídio,2007,144
MG,Tráfico de Drogas,2019,233
BA,Furto,2024,45
SC,Tráfico de Drogas,2019,94
SP,Furto,2022,213
RJ,Violência Doméstica,2014,235
MG,Violência Doméstica,2022,292
CE,Homicídio,2008,429
SP,Violência Doméstica,2022,198
CE,Violência Doméstica,2004,313
CE,Homicídio,2008,356
PE,Violência Doméstica,2014,190
RJ,Furto,2003,473
RJ,Roubo,2021,338
BA,Violência Doméstica,2021,324
BA,Roubo,2006,202
AM,Tráfico de Drogas,2003,26
BA,Tráfico de Drogas,2010,111
MG,Tráfico de Drogas,2021,32
SC,Roubo,2005,65
AM,Homicídio,2003,33
PR,Roubo,2015,485
PR,Roubo,2006,422
RS,Furto,2020,13
PE,Roubo,2002,70
PE,Furto,2005,347
PR,Furto,2001,435
CE,Homicídio,2023,20
SP,Tráfico de Drogas,2008,59
RS,Roubo,2013,62
RJ,Homicídio,2015,370
RS,Violência Doméstica,2015,432
CE,Roubo,2014,153
RS,Roubo,2019,91
AM,Violência Doméstica,2002,270
AM,Violência Doméstica,2023,7
AM,Roubo,2000,394
MG,Homicídio,2022,235
CE,Furto,2005,211
RS,Roubo,2024,53
CE,Furto,2023,102
PR,Tráfico de Drogas,2007,295
PR,Furto,2018,363
SC,Tráfico de Drogas,2001,435
PE,Homicídio,2019,138
MG,Homicídio,2012,467
BA,Roubo,2013,83
RS,Furto,2013,415
CE,Homicídio,2011,27
BA,Furto,2004,440
PR,Tráfico de Drogas,2020,377
PR,Homicídio,2002,99
MG,Homicídio,2013,12
BA,Violência Doméstica,2013,159
RJ,Homicídio,2019,333
BA,Homicídio,2005,194
PE,Homicídio,2014,43
RJ,Roubo,2017,10
MG,Tráfico de Drogas,2016,7
PR,Tráfico de Drogas,2002,231
MG,Roubo,2003,463
BA,Tráfico de Drogas,2014,210
BA,Furto,2004,455
MG,Violência Doméstica,2011,66
MG,Homicídio,2003,411
AM,Violência Doméstica,2021,380
SP,Violência Doméstica,2006,258
SP,Tráfico de Drogas,2018,403
AM,Roubo,2010,471
PR,Furto,2016,308
AM,Tráfico de Drogas,2023,310
AM,Violência Doméstica,2024,452
RJ,Homicídio,2005,248
SP,Roubo,2000,261
SC,Homicídio,2023,424
RS,Furto,2020,321
PR,Tráfico de Drogas,2016,185
AM,Violência Doméstica,2023,133
BA,Tráfico de Drogas,2020,146
RS,Violência Doméstica,2017,310
AM,Furto,2016,6
RS,Violência Doméstica,2016,54
RS,Homicídio,2019,407
SC,Violência Doméstica,2010,350
SC,Tráfico de Drogas,2014,194
RS,Violência Doméstica,2004,61
SC,Violência Doméstica,2008,382
SC,Roubo,2015,300
SC,Furto,2001,311
PE,Roubo,2019,22
AM,Furto,2007,409
BA,Roubo,2012,69
PR,Violência Doméstica,2021,184
SC,Violência Doméstica,2021,70
AM,Furto,2024,488
SP,Homicídio,2020,364
BA,Roubo,2009,478
AM,Violência Doméstica,2009,114
MG,Homicídio,2024,147
RS,Furto,2014,476
PR,Homicídio,2002,423
MG,Violência Doméstica,2007,286
RJ,Roubo,2021,268
RJ,Roubo,2020,21
CE,Violência Doméstica,2014,395
PR,Homicídio,2000,397
AM,Furto,2002,235
CE,Violência Doméstica,2022,338
CE,Homicídio,2024,456
PE,Furto,2002,175
RJ,Violência Doméstica,2004,250
RJ,Tráfico de Drogas,2010,13
PE,Furto,2016,152
PR,Tráfico de Drogas,2020,456
RS,Homicídio,2002,165
SC,Tráfico de Drogas,2017,325
PR,Homicídio,2011,452
AM,Roubo,2015,317
AM,Homicídio,2003,284
SC,Tráfico de Drogas,2019,269
SP,Tráfico de Drogas,2019,391
PR,Roubo,2005,489
SC,Homicídio,2001,104
RJ,Homicídio,2004,255
RS,Homicídio,2002,116
SP,Furto,2005,303
CE,Furto,2012,15
SC,Tráfico de Drogas,2022,325
AM,Violência Doméstica,2024,68
MG,Roubo,2000,345
RJ,Homicídio,2015,293
PR,Furto,2004,144
PR,Furto,2003,347
AM,Roubo,2014,152
AM,Roubo,2024,235
RS,Violência Doméstica,2020,397
RJ,Furto,2005,175
RS,Violência Doméstica,2002,51
RJ,Tráfico de Drogas,2014,467
SC,Tráfico de Drogas,2008,481
PE,Tráfico de Drogas,2009,185
SC,Roubo,2004,220
SP,Tráfico de Drogas,2011,486
CE,Roubo,2019,56
CE,Furto,2020,87
BA,Homicídio,2010,305
RS,Tráfico de Drogas,2022,348
PE,Violência Doméstica,2003,235
BA,Roubo,2019,188
RJ,Furto,2003,347
PE,Roubo,2012,312
SC,Violência Doméstica,2001,55
SC,Tráfico de Drogas,2012,179
AM,Tráfico de Drogas,2019,316
MG,Roubo,2024,209
PR,Violência Doméstica,2010,223
PR,Tráfico de Drogas,2018,450
RJ,Roubo,2006,483
RJ,Tráfico de Drogas,2000,240
SC,Furto,2001,49
PR,Roubo,2018,83
SP,Homicídio,2018,170
SP,Violência Doméstica,2017,273
PR,Tráfico de Drogas,2011,193
SC,Roubo,2001,300
SC,Roubo,2021,172
RJ,Violência Doméstica,2020,247
PR,Violência Doméstica,2017,167
PE,Tráfico de Drogas,2023,335
RS,Furto,2024,338
MG,Furto,2002,74
PR,Roubo,2009,345
SC,Furto,2019,492
PE,Homicídio,2015,293
SP,Homicídio,2010,440
MG,Furto,2004,92
BA,Violência Doméstica,2006,120
PR,Homicídio,2009,410
RS,Tráfico de Drogas,2017,352
BA,Violência Doméstica,2003,427
MG,Furto,2014,19
CE,Furto,2017,488
RJ,Homicídio,2014,258
SC,Furto,2014,241
CE,Roubo,2017,17
CE,Furto,2005,158
SC,Furto,2006,78
PE,Roubo,2021,458
MG,Roubo,2001,38
PR,Violência Doméstica,2008,88
SC,Furto,2020,319
RJ,Homicídio,2008,27
BA,Roubo,2018,432
SC,Furto,2003,92
AM,Violência Doméstica,2014,110
SP,Violência Doméstica,2012,403
SP,Tráfico de Drogas,2010,123
MG,Tráfico de Drogas,2022,7
RS,Tráfico de Drogas,2011,381
SP,Violência Doméstica,2015,352
RJ,Tráfico de Drogas,2007,355
PR,Homicídio,2007,139
BA,Tráfico de Drogas,2008,340
AM,Tráfico de Drogas,2014,62
SC,Furto,2024,331
BA,Tráfico de Drogas,2010,170
RJ,Tráfico de Drogas,2011,494
CE,Roubo,2010,368
CE,Tráfico de Drogas,2022,28
BA,Violência Doméstica,2006,193
AM,Homicídio,2020,490
RS,Furto,2020,134
AM,Tráfico de Drogas,2015,480
RS,Tráfico de Drogas,2023,101
PR,Tráfico de Drogas,2015,430
CE,Homicídio,2021,57
PE,Tráfico de Drogas,2013,175
PR,Tráfico de Drogas,2006,220
AM,Tráfico de Drogas,2016,396
SC,Violência Doméstica,2011,237
MG,Tráfico de Drogas,2011,303
MG,Tráfico de Drogas,2014,277
RS,Homicídio,2000,271
PR,Homicídio,2020,200
RJ,Furto,2008,489
PE,Furto,2006,212
AM,Roubo,2024,416
MG,Tráfico de Drogas,2015,493
CE,Roubo,2016,353
MG,Roubo,2018,240
SC,Violência Doméstica,2003,279
MG,Violência Doméstica,2023,31
RJ,Roubo,2012,264
PE,Furto,2000,486
PR,Tráfico de Drogas,2002,290
PE,Tráfico de Drogas,2009,256
SP,Furto,2018,286
SC,Furto,2024,467
AM,Homicídio,2007,124
SC,Tráfico de Drogas,2010,394
SC,Homicídio,2022,420
MG,Furto,2013,209
MG,Tráfico de Drogas,2024,229
SP,Tráfico de Drogas,2001,458
SP,Tráfico de Drogas,2000,89
PR,Homicídio,2002,32
RS,Roubo,2015,309
RJ,Homicídio,2010,219
PE,Furto,2000,409
SP,Homicídio,2017,153
RJ,Tráfico de Drogas,2001,392
AM,Violência Doméstica,2023,188
RS,Roubo,2009,393
AM,Furto,2014,268
RJ,Violência Doméstica,2023,2
AM,Furto,2003,102
SC,Tráfico de Drogas,2011,408
AM,Homicídio,2009,193
RJ,Tráfico de Drogas,2003,137
SP,Homicídio,2013,391
SC,Roubo,2009,303
BA,Violência Doméstica,2010,59
RS,Roubo,2024,253
SP,Tráfico de Drogas,2020,170
PE,Tráfico de Drogas,2001,73
SP,Furto,2021,181
CE,Tráfico de Drogas,2020,101
PR,Furto,2010,158
RS,Homicídio,2017,163
BA,Furto,2024,206
RS,Roubo,2009,355
CE,Tráfico de Drogas,2014,117
SP,Roubo,2020,93
PR,Homicídio,2012,230
SC,Furto,2015,347
SC,Violência Doméstica,2014,463
PE,Furto,2004,115
PR,Violência Doméstica,2017,113
PE,Violência Doméstica,2022,4
BA,Violência Doméstica,2002,1
PR,Tráfico de Drogas,2021,155
AM,Violência Doméstica,2013,165
SP,Furto,2018,293
AM,Roubo,2021,459
PR,Homicídio,2023,307
PE,Homicídio,2005,85
SP,Roubo,2019,56
MG,Violência Doméstica,2023,217
MG,Roubo,2005,176
SC,Homicídio,2019,458
PR,Roubo,2017,127
SC,Homicídio,2003,9
PR,Tráfico de Drogas,2007,166
AM,Homicídio,2016,100
CE,Roubo,2008,344
BA,Furto,2011,478
PR,Tráfico de Drogas,2010,253
RS,Violência Doméstica,2013,487
MG,Roubo,2003,382
SC,Tráfico de Drogas,2021,264
RJ,Violência Doméstica,2000,92
SC,Tráfico de Drogas,2019,434
SP,Homicídio,2000,185
RJ,Roubo,2018,186
RS,Tráfico de Drogas,2019,101
PR,Homicídio,2015,479
PR,Violência Doméstica,2014,117
CE,Furto,2020,324
AM,Homicídio,2013,54
SC,Furto,2012,353
RS,Roubo,2020,141
MG,Homicídio,2014,421
SP,Violência Doméstica,2008,359
SP,Violência Doméstica,2014,83
RJ,Violência Doméstica,2010,371
SC,Homicídio,2001,406
SC,Tráfico de Drogas,2024,440
PR,Violência Doméstica,2018,182
AM,Violência Doméstica,2002,171
BA,Homicídio,2023,362
SC,Tráfico de Drogas,2003,393
MG,Tráfico de Drogas,2007,284
MG,Homicídio,2020,480
BA,Tráfico de Drogas,2018,142
PE,Violência Doméstica,2013,411
SC,Violência Doméstica,2003,57
PR,Tráfico de Drogas,2012,421
SP,Furto,2015,84
RJ,Homicídio,2001,450
SC,Homicídio,2024,456
BA,Tráfico de Drogas,2003,272
RS,Roubo,2016,347
RJ,Furto,2018,157
BA,Violência Doméstica,2011,49
BA,Violência Doméstica,2006,135
PE,Roubo,2002,476
RJ,Roubo,2022,18
AM,Violência Doméstica,2011,346
CE,Roubo,2008,294
BA,Furto,2023,76
MG,Homicídio,2012,481
AM,Violência Doméstica,2005,213
SP,Roubo,2008,222
CE,Roubo,2007,217
RJ,Violência Doméstica,2011,97
PR,Roubo,2006,225
CE,Homicídio,2009,119
PE,Roubo,2007,356
BA,Tráfico de Drogas,2021,356
PR,Violência Doméstica,2006,345
SP,Violência Doméstica,2002,262
SC,Homicídio,2019,143
PE,Roubo,2002,111
BA,Roubo,2023,44
CE,Furto,2010,217
RJ,Violência Doméstica,2008,310
BA,Roubo,2023,123
SP,Roubo,2003,131
MG,Furto,2007,25
PE,Tráfico de Drogas,2023,381
RS,Roubo,2005,495
AM,Tráfico de Drogas,2021,218
RJ,Tráfico de Drogas,2006,245
SC,Roubo,2005,274
BA,Roubo,2008,59
PR,Tráfico de Drogas,2002,292
CE,Tráfico de Drogas,2007,182
SP,Roubo,2009,320
PE,Violência Doméstica,2019,393
SP,Tráfico de Drogas,2012,32
CE,Homicídio,2010,255
BA,Roubo,2004,431
MG,Homicídio,2005,392
PE,Tráfico de Drogas,2008,262
PR,Violência Doméstica,2012,155
BA,Homicídio,2020,229
AM,Tráfico de Drogas,2005,37
CE,Homicídio,2009,64
SC,Tráfico de Drogas,2012,430
RS,Roubo,2006,19
SP,Furto,2000,275
SC,Tráfico de Drogas,2016,110
SC,Violência Doméstica,2020,135
CE,Tráfico de Drogas,2022,309
RJ,Furto,2024,460
MG,Homicídio,2009,220
BA,Violência Doméstica,2003,255
AM,Homicídio,2021,291
RS,Violência Doméstica,2001,82
SC,Homicídio,2007,316
RJ,Violência Doméstica,2018,74
SP,Furto,2011,485
PR,Furto,2011,198
PR,Homicídio,2013,163
SC,Homicídio,2001,67
BA,Tráfico de Drogas,2004,13
BA,Violência Doméstica,2009,484
RJ,Furto,2012,121
PE,Furto,2005,420
PR,Furto,2013,69
PR,Roubo,2021,461
PR,Furto,2006,380
RS,Roubo,2008,22
SP,Homicídio,2004,163
PE,Roubo,2006,342
CE,Violência Doméstica,2017,95
CE,Furto,2016,37
AM,Roubo,2004,196
SP,Tráfico de Drogas,2012,267
MG,Furto,2008,422
SP,Homicídio,2018,203
MG,Roubo,2005,205
AM,Roubo,2021,109
AM,Roubo,2014,375
SC,Violência Doméstica,2021,382
BA,Roubo,2000,31
SC,Homicídio,2023,62
PR,Tráfico de Drogas,2004,303
RJ,Furto,2012,305
MG,Roubo,2002,20
SP,Violência Doméstica,2001,177
MG,Violência Doméstica,2000,420
RJ,Violência Doméstica,2019,251
SC,Roubo,2022,23
SC,Roubo,2007,366
PE,Violência Doméstica,2005,446
MG,Violência Doméstica,2015,383
MG,Tráfico de Drogas,2010,285
PE,Tráfico de Drogas,2022,297
AM,Roubo,2020,121
CE,Furto,2014,293
MG,Homicídio,2015,207
MG,Furto,2018,304
BA,Furto,2015,440
SP,Furto,2015,352
CE,Violência Doméstica,2015,233
MG,Violência Doméstica,2007,282
PR,Tráfico de Drogas,2014,42
RS,Violência Doméstica,2012,102
PR,Roubo,2010,450
BA,Tráfico de Drogas,2021,410
RS,Roubo,2023,140
RS,Violência Doméstica,2023,453
PR,Roubo,2005,308
MG,Homicídio,2022,462
PR,Homicídio,2019,108
SC,Tráfico de Drogas,2020,471
SP,Violência Doméstica,2008,467
BA,Homicídio,2023,361
AM,Tráfico de Drogas,2011,108
SC,Furto,2006,71
PR,Homicídio,2010,137
CE,Violência Doméstica,2019,339
CE,Tráfico de Drogas,2019,430
CE,Violência Doméstica,2011,394
BA,Furto,2008,189
AM,Homicídio,2005,291
SC,Homicídio,2024,390
PE,Furto,2013,438
RS,Tráfico de Drogas,2005,198
SC,Roubo,2007,188
MG,Tráfico de Drogas,2016,341
PE,Furto,2007,172
MG,Homicídio,2012,12
RS,Tráfico de Drogas,2008,100
PR,Violência Doméstica,2011,87
SP,Violência Doméstica,2017,442
MG,Roubo,2005,13
PR,Roubo,2020,303
PR,Violência Doméstica,2014,10
SP,Tráfico de Drogas,2007,270
SC,Violência Doméstica,2009,429
CE,Furto,2024,367
AM,Violência Doméstica,2002,120
AM,Violência Doméstica,2017,87
MG,Roubo,2011,403
PR,Furto,2007,383
AM,Violência Doméstica,2006,270
MG,Roubo,2015,69
RS,Roubo,2020,427
AM,Tráfico de Drogas,2021,301
BA,Roubo,2007,309
PE,Tráfico de Drogas,2005,217
RS,Violência Doméstica,2020,123
BA,Roubo,2006,159
RS,Roubo,2012,148
AM,Homicídio,2023,213
BA,Tráfico de Drogas,2008,58
MG,Roubo,2022,287
SP,Violência Doméstica,2009,306
MG,Homicídio,2014,19
SC,Roubo,2015,338
PR,Tráfico de Drogas,2012,308
SP,Tráfico de Drogas,2014,108
MG,Homicídio,2015,97
RS,Tráfico de Drogas,2011,211
PE,Furto,2003,419
RS,Violência Doméstica,2018,139
RJ,Tráfico de Drogas,2003,422
SP,Furto,2002,116
PE,Furto,2019,332
SC,Tráfico de Drogas,2013,186
CE,Homicídio,2001,285
RS,Furto,2013,313
AM,Furto,2004,491
RJ,Roubo,2012,56
CE,Furto,2003,87
MG,Violência Doméstica,2011,252
AM,Violência Doméstica,2001,444
SP,Violência Doméstica,2005,441
RS,Furto,2014,285
MG,Roubo,2018,244
SC,Furto,2004,295
SC,Roubo,2004,493
PE,Violência Doméstica,2008,441
CE,Violência Doméstica,2012,248
CE,Violência Doméstica,2021,412
PR,Tráfico de Drogas,2004,481
AM,Violência Doméstica,2022,152
MG,Homicídio,2019,268
PR,Furto,2005,351
MG,Tráfico de Drogas,2016,109
RS,Tráfico de Drogas,2000,252
SP,Tráfico de Drogas,2008,133
SP,Homicídio,2011,317
PR,Tráfico de Drogas,2006,85
CE,Roubo,2010,427
SC,Roubo,2014,420
AM,Homicídio,2002,472
PE,Roubo,2015,140
MG,Furto,2024,416
RJ,Furto,2003,143
PE,Tráfico de Drogas,2003,379
PR,Violência Doméstica,2012,81
PR,Furto,2012,163
PE,Violência Doméstica,2019,481
PE,Homicídio,2020,343
AM,Furto,2019,373
BA,Furto,2011,15
RJ,Tráfico de Drogas,2002,55
SP,Homicídio,2005,192
RS,Furto,2022,8
SP,Tráfico de Drogas,2014,327
RJ,Roubo,2015,206
AM,Furto,2001,352
AM,Violência Doméstica,2016,321
PE,Roubo,2016,392
SP,Roubo,2010,89
SC,Homicídio,2024,497
AM,Furto,2000,360
RJ,Furto,2001,231
RJ,Violência Doméstica,2014,457
SP,Homicídio,2004,412
CE,Roubo,2016,455
SP,Homicídio,2022,414
MG,Furto,2012,198
CE,Tráfico de Drogas,2018,23
SC,Homicídio,2015,70
AM,Furto,2011,54
PR,Tráfico de Drogas,2005,140
RJ,Furto,2005,389
RJ,Furto,2016,404
CE,Furto,2021,21
RS,Furto,2012,184
MG,Tráfico de Drogas,2012,426
BA,Roubo,2018,156
PE,Furto,2020,91
SC,Tráfico de Drogas,2003,198
SP,Homicídio,2016,461
MG,Roubo,2006,432
CE,Roubo,2016,124
SC,Furto,2018,257
SC,Homicídio,2010,176
PE,Violência Doméstica,2004,473
CE,Violência Doméstica,2001,387
BA,Violência Doméstica,2020,399
AM,Tráfico de Drogas,2009,225
AM,Tráfico de Drogas,2021,312
SP,Roubo,2007,427
BA,Homicídio,2011,346
PE,Furto,2003,229
AM,Tráfico de Drogas,2003,413
SC,Furto,2022,482
SP,Roubo,2000,362
BA,Tráfico de Drogas,2013,146
RJ,Roubo,2007,253
PE,Homicídio,2010,481
RJ,Tráfico de Drogas,2020,5
MG,Tráfico de Drogas,2021,149
AM,Furto,2006,270
RJ,Furto,2006,192
SC,Tráfico de Drogas,2015,170
AM,Furto,2023,78
SP,Violência Doméstica,2018,92
SP,Tráfico de Drogas,2024,43
BA,Violência Doméstica,2006,87
SC,Roubo,2022,37
BA,Homicídio,2024,31
PR,Furto,2019,301
AM,Homicídio,2010,226
RJ,Roubo,2023,210
CE,Tráfico de Drogas,2005,203
MG,Homicídio,2002,186
AM,Furto,2020,343
SC,Homicídio,2003,28
SP,Roubo,2004,109
PR,Roubo,2001,337
BA,Violência Doméstica,2008,381
RJ,Roubo,2001,233
BA,Tráfico de Drogas,2017,311
BA,Tráfico de Drogas,2008,451
RJ,Roubo,2000,476
SC,Roubo,2000,398
RJ,Violência Doméstica,2022,254
MG,Tráfico de Drogas,2000,189
BA,Furto,2013,164
BA,Roubo,2018,470
CE,Furto,2001,437
SC,Tráfico de Drogas,2008,271
BA,Furto,2002,278
PE,Violência Doméstica,2001,418
PR,Furto,2002,312
PR,Roubo,2012,121
PR,Roubo,2004,452
SP,Furto,2004,464
CE,Roubo,2010,95
RJ,Violência Doméstica,2017,42
SC,Tráfico de Drogas,2020,379
MG,Homicídio,2000,400
SP,Homicídio,2014,407
RJ,Homicídio,2014,96
RJ,Homicídio,2005,122
SP,Roubo,2005,92
SC,Homicídio,2018,226
SP,Tráfico de Drogas,2010,283
AM,Furto,2023,68
RJ,Violência Doméstica,2018,342
CE,Roubo,2003,347
SC,Tráfico de Drogas,2021,124
SC,Roubo,2018,321
CE,Homicídio,2016,298
MG,Homicídio,2007,295
CE,Roubo,2010,460
CE,Violência Doméstica,2001,42
PE,Violência Doméstica,2015,374
CE,Roubo,2005,380
AM,Furto,2003,255
PE,Furto,2002,112
BA,Furto,2021,206
CE,Violência Doméstica,2010,9
BA,Roubo,2004,291
BA,Homicídio,2007,106
RS,Roubo,2001,45
AM,Violência Doméstica,2012,481
CE,Roubo,2009,227
RS,Violência Doméstica,2011,94
RJ,Homicídio,2023,354
AM,Homicídio,2000,166
MG,Violência Doméstica,2016,225
BA,Roubo,2000,449
AM,Furto,2008,408
BA,Furto,2004,188
CE,Roubo,2001,350
AM,Violência Doméstica,2013,355
SC,Furto,2014,316
RS,Tráfico de Drogas,2021,31
RJ,Furto,2009,471
SP,Furto,2001,216
BA,Violência Doméstica,2004,275
SC,Homicídio,2023,235
AM,Roubo,2021,495
CE,Roubo,2001,16
AM,Tráfico de Drogas,2012,90
SP,Roubo,2008,358
SP,Furto,2023,143
BA,Homicídio,2016,84
AM,Furto,2009,92
RJ,Homicídio,2023,174
CE,Roubo,2022,342
RS,Violência Doméstica,2004,300
MG,Roubo,2011,278
BA,Roubo,2008,499
RJ,Homicídio,2021,471
RJ,Roubo,2010,248
PR,Homicídio,2004,429
AM,Violência Doméstica,2018,101
PR,Furto,2021,488
BA,Violência Doméstica,2002,403
CE,Roubo,2017,323
MG,Furto,2002,220
CE,Tráfico de Drogas,2000,141
AM,Roubo,2008,71
MG,Tráfico de Drogas,2006,273
PE,Furto,2008,217
PR,Homicídio,2004,97
RS,Roubo,2006,260
MG,Violência Doméstica,2003,84
MG,Homicídio,2000,80
CE,Homicídio,2008,121
RS,Homicídio,2015,456
CE,Furto,2009,241
PR,Tráfico de Drogas,2005,263
RJ,Roubo,2012,274
PR,Furto,2000,497
MG,Tráfico de Drogas,2008,145
SC,Tráfico de Drogas,2012,474
